Aprob_Semestre1;Aprob_Semestre2;Aprob_Semestre3;Total_Aprob;Genero;Edad;Provincia;Estado_civil;emplea_ingresos;niv_form_padre;niv_form_madre;ing_hogar;num_miembros_hogar;ing_eve;Tipo_vivienda;tipo_const_vivienda;Internet;cert_practicas;Cert_ingles_A2;Trabaja;Tiempo_trab;Colegio_especializacion;Nivel_Ingles;Sist_ingreso;Tipo_Colegio;Tipo_matricula;Condicion;Porc_Beca;motivo_Beca_1;motivo_Beca_2;Continua
6;6;0;12;Femenino;20;Guayas;Soltero;No aplica;Educacion Media;Educacion Media;550;8;0;Propia;Casa;Si;No;No;No;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;25;No aplica;Convenio interisntitucional;0
6;6;4;16;Femenino;27;Guayas;Soltero;No aplica;Educacion Media;Secundaria;500;3;120;Propia;Villa;Si;No;No;No;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Avanzado;Homologacion;Particular;Ordinario;Homologado;0;No aplica;Otros;0
4;4;0;8;Masculino;37;Guayas;Casado;Financiar sus estudios;Educacion Media;Secundaria;500;6;300;Propia;Casa;Si;No;No;Si;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Intermedio;Curso de Nivelacion;Particular;Ordinario;Caso Especial;25;Otra;Ex cadete Anai;0
6;6;6;18;Masculino;28;Guayas;Soltero;Financiar sus estudios;Educacion Media;Secundaria;800;6;0;Propia;Casa;Si;No;Si;Si;0;BACHILLER EN INFORMATICA;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;1
6;6;5;17;Masculino;22;Guayas;Soltero;No aplica;Secundaria;Educacion Basica;500;5;0;Propia;Casa;Si;No;No;No;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;0
6;5;6;17;Masculino;26;Guayas;Soltero;Financiar sus estudios;Primaria;Primaria;1300;5;0;Propia;Casa;Si;No aplica;No aplica;Si;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Fiscal;Ordinario;Homologado;0;No aplica;Otros;0
6;6;6;18;Femenino;22;Guayas;Soltero;No aplica;Educacion Media;Educacion Basica;500;3;0;Propia;Casa;Si;No;Si;No;0;BACHILLER TECNICO;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Femenino;34;Los Rios;Casado;Financiar sus estudios;Educacion Media;Secundaria;971;5;0;Propia;Casa;Si;No;No;Si;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;25;Otra;Cantones aledanos;1
6;6;0;12;Femenino;21;Guayas;Soltero;No aplica;Educacion Media;Educacion Basica;1880;5;0;Propia;Casa;Si;No;No;No;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;0
6;6;4;16;Femenino;41;Santa Elena;Divorciado;Financiar sus estudios;Superior Universitaria;Educacion Basica;650;3;0;Arrendada;Casa;Si;No;No;Si;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Particular;Extraordinario;Caso Especial;0;No aplica;Otros;0
6;6;6;18;Femenino;36;Guayas;Casado;Para mantener a su hogar;Secundaria;Secundaria;1350;3;0;Propia;Villa;Si;Si;Si;No;0;BACHILLER EN INFORMATICA;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;75;Otra;Otros;1
6;6;4;16;Masculino;22;Guayas;Soltero;Financiar sus estudios;Primaria;Primaria;494;5;20;Otra;Otra;No;No aplica;No aplica;Si;0;BACHILLER EN INFORMATICA;Basico;Curso de Nivelacion;Fiscal;Ordinario;Caso Especial;0;No aplica;Otros;0
6;6;0;12;Masculino;20;Guayas;Soltero;No aplica;Educacion Basica;Educacion Basica;100;1;0;Propia;Villa;Si;No;No;No;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Intermedio;Curso de Nivelacion;Fiscal;Ordinario;Regular;25;Otra;Convenio interisntitucional;0
6;6;6;18;Femenino;23;Guayas;Soltero;Financiar sus estudios;Educacion Basica;Educacion Basica;800;4;0;Propia;Villa;Si;No;Si;Si;0;BACHILLER EN INFORMATICA;Basico;Curso de Nivelacion;Particular;Extraordinario;Caso Especial;0;No aplica;Otros;1
6;6;5;17;Femenino;39;Guayas;Soltero;No aplica;Primaria;Primaria;400;4;0;Arrendada;Casa;No;Si;Si;No;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Otros;Particular;Ordinario;Regular;0;No aplica;Otros;0
6;6;6;18;Masculino;25;Guayas;Soltero;No aplica;Educacion Media;Superior Universitaria;420;4;0;Propia;Casa;Si;No;No;No;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Femenino;26;Guayas;Soltero;No aplica;Secundaria;Superior Universitaria;500;5;0;La esta pagando;Casa;Si;Si;Si;No;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;0;No aplica;Otros;1
6;6;0;12;Masculino;21;Guayas;Soltero;No aplica;Educacion Media;Educacion Media;400;5;0;Propia;Casa;Si;No;No;No;0;BACHILLER EN CIENCIAS;Basico;SENESCYT;Particular;Ordinario;Regular;0;No aplica;Otros;0
6;6;6;18;Femenino;21;Santa Elena;Soltero;No aplica;Secundaria;Secundaria;1100;6;0;Propia;Casa;Si;No;Si;No;0;BACHILLER EN INFORMATICA;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Femenino;41;Guayas;Casado;Financiar sus estudios;Secundaria;Primaria;800;5;0;La esta pagando;Casa;No;Si;Si;Si;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;0;No aplica;Otros;1
6;6;0;12;Femenino;41;Guayas;Casado;Financiar sus estudios;Secundaria;Primaria;800;5;0;La esta pagando;Casa;No;Si;Si;Si;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;0;No aplica;Otros;0
6;6;4;16;Femenino;31;Guayas;Casado;Para mantener a su hogar;Educacion Media;Educacion Media;1000;5;0;Arrendada;Departamento;Si;Si;No;Si;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Intermedio;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;0
6;6;6;18;Femenino;22;Guayas;Soltero;No aplica;Educacion Media;Educacion Basica;450;5;0;Cedida;Cuarto;Si;No;Si;No;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;10;Socioeconomica;Otros;1
6;6;0;12;Masculino;35;Guayas;Soltero;Para mantener a su hogar;Primaria;Secundaria;1000;3;100;Propia;Villa;Si;No;No;Si;0;BACHILLER EN INFORMATICA;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;25;Otra;Cantones aledanos;0
6;6;6;18;Femenino;60;Guayas;Soltero;Financiar sus estudios;Secundaria;Superior Universitaria;675;4;0;Propia;Casa;Si;No;Si;Si;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;0;No aplica;Otros;1
4;1;0;5;Femenino;26;Guayas;Soltero;No aplica;Superior Universitaria;Secundaria;1182;5;0;Propia;Casa;Si;No;No;No;0;BACHILLER TECNICO;Basico;Curso de Nivelacion;Fiscal;Ordinario;Caso Especial;0;No aplica;Otros;0
4;4;0;8;Masculino;29;Guayas;Casado;Para mantener a su hogar;Educacion Media;Secundaria;450;3;0;Cedida;Casa;Si;No;No;Si;0;BACHILLER TECNICO;Basico;Curso de Nivelacion;Fiscal;Ordinario;Caso Especial;25;Otra;Cantones aledanos;0
6;6;6;18;Femenino;23;Guayas;Soltero;No aplica;Educacion Media;Educacion Basica;500;5;0;Propia;Casa;Si;Si;Si;No;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;50;Excelencia Academica;Otros;1
6;6;6;18;Masculino;25;Guayas;Soltero;Para mantener a su hogar;Educacion Basica;Educacion Basica;401;4;0;Propia;Casa;Si;No;No;Si;0;BACHILLER EN INFORMATICA;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;25;Otra;Cantones aledanos;1
6;6;6;18;Femenino;33;Guayas;Soltero;Financiar sus estudios;Primaria;Secundaria;302;3;0;Propia;Casa;Si;Si;Si;Si;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Intermedio;Curso de Nivelacion;Fiscomisional;Ordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Femenino;34;Guayas;Soltero;Para mantener a su hogar;Educacion Media;Educacion Basica;600;5;0;Propia;Villa;Si;Si;Si;No;0;BACHILLER EN INFORMATICA;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;10;Socioeconomica;Otros;1
6;5;0;11;Femenino;23;Guayas;Soltero;No aplica;Educacion Media;Educacion Media;200;3;0;Propia;Casa;No;No;No;No;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Homologacion;Fiscal;Ordinario;Homologado;0;No aplica;Otros;0
6;6;6;18;Femenino;27;Guayas;Soltero;Financiar sus estudios;Educacion Media;Educacion Media;1450;7;0;Propia;Casa;Si;No;No;Si;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Femenino;37;Guayas;Casado;No aplica;Secundaria;Superior Universitaria;700;5;0;Propia;Casa;Si;No;Si;No;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Femenino;22;Guayas;Soltero;No aplica;Primaria;Secundaria;250;5;0;Propia;Casa;Si;No;Si;No;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Masculino;25;Guayas;Soltero;No aplica;Educacion Basica;Educacion Basica;300;2;150;Propia;Casa;Si;No;No;No;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;25;Otra;Cantones aledanos;1
6;6;6;18;Masculino;36;Guayas;Soltero;Financiar sus estudios;Primaria;Primaria;750;5;0;Propia;Casa;Si;Si;Si;Si;0;BACHILLER EN INFORMATICA;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Femenino;21;Guayas;Soltero;Gastos Personales;Superior Universitaria;Superior Universitaria;953.88;4;500;Cedida;Casa;Si;No;No;Si;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Femenino;27;Guayas;Soltero;Financiar sus estudios;Secundaria;Secundaria;900;4;400;Propia;Casa;Si;Si;Si;Si;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Femenino;21;Guayas;Soltero;No aplica;Secundaria;Secundaria;850;4;250;Propia;Casa;Si;No;Si;No;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Intermedio;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;1
6;6;0;12;Masculino;25;Guayas;Soltero;Para mantener a su hogar;Secundaria;Secundaria;410;3;0;Propia;Villa;Si;No;No;Si;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Fiscal;Ordinario;Caso Especial;0;No aplica;Otros;0
6;6;6;18;Femenino;28;Guayas;Soltero;Financiar sus estudios;Educacion Basica;Educacion Basica;1600;4;200;Arrendada;Departamento;No;No;No;Si;3;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;0;No aplica;Otros;1
6;6;1;13;Femenino;25;Guayas;Soltero;No aplica;Educacion Media;Educacion Media;400;4;0;Arrendada;Casa;Si;No;No;No;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Homologacion;Fiscal;Ordinario;Homologado;0;No aplica;Otros;0
6;6;6;18;Masculino;23;Guayas;Soltero;No aplica;Superior Universitaria;Superior Universitaria;1300;4;0;Arrendada;Departamento;Si;No;No;No;0;BACHILLER EN INFORMATICA;Intermedio;Curso de Nivelacion;Particular;Extraordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Masculino;24;Guayas;Soltero;No aplica;Secundaria;Secundaria;401;6;0;La esta pagando;Casa;Si;No;Si;No;0;BACHILLER TECNICO;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Femenino;23;Guayas;Soltero;Para mantener a su hogar;Primaria;Superior Universitaria;300;2;0;Cedida;Casa;Si;No;Si;No;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;25;Otra;Convenio interisntitucional;1
6;6;6;18;Femenino;39;Guayas;Casado;Financiar sus estudios;Educacion Basica;Secundaria;1800;4;0;Cedida;Casa;Si;No;Si;Si;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;25;Otra;Cantones aledanos;1
6;6;6;18;Femenino;27;Guayas;Soltero;Financiar sus estudios;Secundaria;Secundaria;1100;5;0;Propia;Casa;Si;Si;Si;No;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Masculino;26;Guayas;Soltero;Financiar sus estudios;Educacion Media;Superior Universitaria;900;5;0;Propia;Casa;Si;No;Si;Si;0;BACHILLER EN INFORMATICA;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;1
6;6;0;12;Masculino;26;Guayas;Soltero;Financiar sus estudios;Educacion Media;Superior Universitaria;900;5;0;Propia;Casa;Si;No;Si;Si;0;BACHILLER EN INFORMATICA;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;0
6;6;0;12;Masculino;23;Guayas;Soltero;No aplica;Secundaria;Superior Universitaria;400;3;0;Propia;Casa;Si;No;No;No;0;BACHILLER EN INFORMATICA;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;25;Otra;Ex cadete Anai;0
6;6;6;18;Femenino;21;Guayas;Soltero;Financiar sus estudios;Educacion Basica;Educacion Basica;400;3;0;Propia;Casa;Si;No;No;No;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Fiscal;Ordinario;Caso Especial;0;No aplica;Otros;1
6;6;6;18;Femenino;32;Guayas;Casado;Para mantener a su hogar;Secundaria;Secundaria;700;7;0;Propia;Casa;Si;Si;Si;Si;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Particular;Extraordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Femenino;23;Guayas;Soltero;Financiar sus estudios;Secundaria;Secundaria;1000;3;0;Propia;Casa;Si;No;No;Si;0;BACHILLER EN INFORMATICA;Intermedio;Curso de Nivelacion;Particular;Ordinario;Regular;25;Otra;Ex cadete Anai;1
6;6;6;18;Femenino;39;Guayas;Soltero;Para mantener a su hogar;Educacion Basica;Educacion Basica;1800;12;0;Propia;Villa;Si;No;No;Si;0;BACHILLER EN INFORMATICA;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Masculino;24;Guayas;Soltero;Financiar sus estudios;Secundaria;Educacion Basica;600;5;0;Propia;Casa;No;Si;Si;Si;0;BACHILLER TECNICO;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Masculino;30;Guayas;Soltero;Financiar sus estudios;Primaria;Primaria;1200;6;0;Propia;Casa;No;No aplica;No aplica;Si;0;BACHILLER EN INFORMATICA;Basico;Curso de Nivelacion;Fiscal;Extraordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Femenino;24;Guayas;Soltero;Gastos Personales;Secundaria;Secundaria;1000;5;0;Cedida;Otra;Si;Si;Si;Si;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Particular;Extraordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Femenino;22;Guayas;Soltero;Para mantener a su hogar;Primaria;Secundaria;800;4;0;Propia;Casa;Si;No;Si;No;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Fiscal;Ordinario;Reingreso;0;No aplica;Otros;1
6;6;6;18;Femenino;35;Guayas;Casado;Financiar sus estudios;Educacion Media;Secundaria;3000;4;0;Propia;Casa;Si;No;Si;Si;0;BACHILLER EN INFORMATICA;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;1
6;6;0;12;Femenino;20;Guayas;Soltero;Para mantener a su hogar;Educacion Media;Educacion Media;400;5;0;Cedida;Casa;Si;No;No;No;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Intermedio;Curso de Nivelacion;Particular;Ordinario;Regular;0;No aplica;Otros;0
6;6;6;18;Femenino;28;Guayas;Soltero;No aplica;Superior Universitaria;Secundaria;770;6;0;Propia;Villa;Si;No aplica;No aplica;Si;4;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Intermedio;Homologacion;Fiscal;Extraordinario;Homologado;0;No aplica;Otros;1
6;6;0;12;Femenino;22;Guayas;Soltero;No aplica;Superior Universitaria;Secundaria;700;5;0;La esta pagando;Casa;Si;No;No;No;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;15;Pueblos y nacionalidades;Otros;0
6;6;6;18;Femenino;27;Guayas;Soltero;No aplica;Secundaria;Primaria;400;3;0;Arrendada;Casa;Si;Si;Si;No;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;1
6;5;0;11;Masculino;21;Guayas;Soltero;No aplica;Educacion Media;Secundaria;360;7;0;Cedida;Casa;Si;No;No;No;0;BACHILLER EN INFORMATICA;Basico;SENESCYT;Fiscal;Ordinario;Regular;50;Otra;Senescyt;0
6;6;0;12;Masculino;21;Guayas;Soltero;No aplica;Educacion Basica;Centro de Alfabetizacion;450;3;0;Propia;Villa;Si;No;No;No;0;BACHILLER EN INFORMATICA;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;25;Otra;Convenio interisntitucional;0
6;6;6;18;Femenino;27;Guayas;Soltero;Para mantener a su hogar;Educacion Basica;Educacion Basica;400;4;0;Propia;Casa;Si;Si;Si;Si;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Intermedio;Curso de Nivelacion;Particular;Ordinario;Regular;40;Excelencia Academica;Otros;1
6;6;0;12;Femenino;33;Guayas;Casado;No aplica;Educacion Basica;Secundaria;1000;4;0;Propia;Casa;Si;No;No;No;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Fiscomisional;Ordinario;Regular;0;No aplica;Otros;0
6;6;6;18;Masculino;21;Guayas;Soltero;No aplica;Secundaria;Primaria;400;3;0;Arrendada;Casa;Si;No;No;No;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;25;Otra;Convenio interisntitucional;1
6;6;6;18;Femenino;25;Guayas;Soltero;Financiar sus estudios;Educacion Media;Educacion Basica;1600;4;0;Propia;Casa;Si;No;No;Si;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;25;Otra;Ex cadete Anai;1
6;6;6;18;Femenino;22;Guayas;Soltero;Para mantener a su hogar;Educacion Basica;Educacion Basica;795;4;0;Propia;Casa;Si;No;No;No;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;25;Otra;Cantones aledanos;1
6;6;6;18;Masculino;23;Guayas;Soltero;No aplica;Superior Universitaria;Superior Universitaria;784;5;0;Propia;Casa;No;Si;Si;No;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;25;Otra;Convenio interisntitucional;1
6;6;6;18;Femenino;22;Guayas;Soltero;No aplica;Educacion Basica;Educacion Basica;492;5;100;Cedida;Casa;No;Si;Si;No;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Intermedio;Curso de Nivelacion;Fiscal;Ordinario;Regular;25;Otra;Convenio interisntitucional;1
6;6;6;18;Masculino;25;Guayas;Soltero;No aplica;Educacion Media;Superior Universitaria;300;2;500;Arrendada;Casa;Si;No;No;No;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;0;No aplica;Otros;1
6;6;0;12;Masculino;22;Guayas;Soltero;Financiar sus estudios;Superior Universitaria;Educacion Basica;560;5;160;Propia;Casa;Si;No;No;No;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;25;Otra;Convenio interisntitucional;0
6;6;6;18;Femenino;42;Guayas;Soltero;Para mantener a su hogar;Superior Universitaria;Superior Universitaria;675;3;0;Propia;Villa;Si;Si;Si;Si;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Femenino;21;Guayas;Soltero;No aplica;Secundaria;Secundaria;400;4;0;Propia;Villa;No;Si;Si;No;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;40;Excelencia Academica;Otros;1
6;6;6;18;Masculino;46;Guayas;Soltero;Para mantener a su hogar;Posgrado;Secundaria;600;4;0;Arrendada;Casa;Si;Si;Si;No;0;BACHILLER EN INFORMATICA;Basico;Homologacion;Particular;Ordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Masculino;40;Guayas;Casado;Financiar sus estudios;Secundaria;Educacion Media;425;5;200;Cedida;Villa;Si;No;Si;Si;1;BACHILLER EN INFORMATICA;Basico;Curso de Nivelacion;Fiscal;Extraordinario;Caso Especial;0;No aplica;Otros;1
6;6;6;18;Masculino;22;Guayas;Soltero;No aplica;Primaria;Superior Universitaria;1194;5;0;Propia;Casa;Si;No aplica;No aplica;No;0;BACHILLER TECNICO;Basico;Curso de Nivelacion;Fiscal;Extraordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Femenino;31;Guayas;Soltero;Financiar sus estudios;Educacion Basica;Educacion Basica;900;4;0;Propia;Villa;Si;No;Si;Si;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Femenino;25;Guayas;Soltero;Para mantener a su hogar;Superior Universitaria;Secundaria;1500;5;0;Arrendada;Villa;Si;No;No;Si;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Femenino;36;Guayas;Soltero;Financiar sus estudios;Educacion Basica;Educacion Basica;700;4;0;Propia;Casa;Si;No;Si;Si;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;1
6;6;0;12;Masculino;27;Guayas;Soltero;Financiar sus estudios;Secundaria;Secundaria;700;1;0;Arrendada;Departamento;Si;No;No;Si;1;BACHILLER TECNICO;Basico;Curso de Nivelacion;Fiscal;Ordinario;Reingreso;0;No aplica;Otros;0
